Index;ID;Lat;Lon;Elv;Yr1;YrEnd;Yrs;Name;Prov;Fit
77;1100360;49.28;-122.48;117;1971;1982;12;ALOUETTE LAKE;BC;Lin
78;1100875;50.12;-122.95;659;1969;2024;35;WHISTLER - NESTERS;BC;Lin
79;1101140;49.38;-122.86;10;1969;1983;15;BUNTZEN LAKE;BC;Lin
80;1101300;50.14;-123.11;884;2013;2024;12;CALLAGHAN VALLEY;BC;Lin
81;1101562;49.11;-121.9;228;1964;1980;16;CHILLIWACK MICROWAVE;BC;Lin
82;1101890;49.36;-122.8;160;1971;1982;12;COQUITLAM LAKE;BC;Lin
83;1102221;49.07;-121.97;45;2012;2024;13;CULTUS LAKE;BC;Lin
84;1102415;49.12;-123;3;1963;2024;24;DELTA BURNS BOG;BC;Lin
85;1103328;49.2;-122.51;320;1964;1984;21;HANEY MICROWAVE;BC;Lin
86;1103332;49.26;-122.57;147;1963;2016;52;HANEY UBC RF ADMIN;BC;Lin
